ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,T_TL,M_TL,F_TL,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65Plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65Plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65Plus
Arba Minch town,ET071021,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,192043,96512,95531,29260,31219,28748,15245,5710,13264,14760,11509,11251,7664,6219,4823,4057,3344,4970,14705,15689,14447,7661,2870,6666,7418,5784,5654,3851,3126,2424,2039,1681,2498,14555,15530,14301,7583,2840,6598,7342,5725,5597,3812,3094,2399,2018,1664,2472
Alle Special,ET071205,Alle,ET0712,SNNP,ET07,Ethiopia,ET,53450,26181,27269,8144,8689,8001,4243,1589,3692,4108,3203,3131,2133,1731,1342,1129,931,1383,3989,4256,3919,2078,778,1808,2012,1569,1534,1045,848,658,553,456,678,4155,4433,4082,2165,811,1883,2096,1634,1598,1088,883,685,576,475,706
Karat town,ET071301,Konso,ET0713,SNNP,ET07,Ethiopia,ET,14815,7788,7027,2257,2408,2218,1176,441,1023,1139,888,868,591,480,372,313,258,383,1187,1266,1166,618,232,538,599,467,456,311,252,196,165,136,202,1071,1142,1052,558,209,485,540,421,412,280,228,176,148,122,182
Segen Zuria,ET071302,Konso,ET0713,SNNP,ET07,Ethiopia,ET,46210,22848,23362,7041,7512,6917,3668,1374,3192,3552,2769,2707,1844,1497,1161,976,805,1196,3481,3714,3420,1814,679,1578,1756,1369,1339,912,740,574,483,398,591,3559,3798,3497,1854,695,1614,1796,1400,1369,932,757,587,494,407,605
Karat Zuria,ET071303,Konso,ET0713,SNNP,ET07,Ethiopia,ET,74428,35928,38500,11340,12099,11142,5908,2213,5141,5720,4460,4360,2970,2410,1869,1572,1296,1926,5474,5841,5378,2852,1068,2481,2761,2153,2105,1434,1164,902,759,626,930,5866,6259,5763,3056,1145,2659,2959,2307,2255,1536,1247,967,813,670,996
Kena,ET071304,Konso,ET0713,SNNP,ET07,Ethiopia,ET,78269,37782,40487,11925,12724,11717,6213,2327,5406,6016,4690,4585,3123,2535,1966,1653,1363,2026,5757,6142,5656,2999,1123,2610,2904,2264,2213,1508,1224,949,798,658,978,6169,6582,6061,3214,1204,2796,3112,2426,2372,1616,1311,1017,855,705,1048
Kulito town,ET071401,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,68929,34360,34569,10502,11205,10318,5472,2050,4761,5298,4131,4038,2751,2232,1731,1456,1200,1784,5235,5586,5144,2728,1022,2373,2641,2059,2013,1371,1113,863,726,598,889,5267,5620,5175,2744,1028,2388,2657,2072,2025,1380,1120,868,730,602,895
Wera,ET071402,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,71678,36140,35538,10921,11652,10730,5690,2131,4951,5509,4295,4199,2860,2321,1800,1514,1248,1855,5506,5875,5410,2869,1075,2496,2778,2166,2117,1442,1170,908,763,629,935,5415,5777,5320,2821,1057,2455,2731,2130,2082,1418,1151,893,751,619,920
Atote Ulo,ET071403,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,53762,27107,26655,8191,8740,8048,4268,1599,3713,4132,3222,3150,2145,1741,1350,1136,936,1391,4130,4407,4058,2152,806,1872,2083,1624,1588,1082,878,681,573,472,702,4061,4333,3990,2116,793,1841,2049,1597,1562,1064,863,669,563,464,690
Wera Djo,ET071404,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,47196,23796,23400,7191,7672,7065,3746,1403,3260,3627,2828,2765,1883,1528,1185,997,822,1221,3626,3868,3562,1889,708,1644,1829,1426,1394,950,771,598,503,414,616,3565,3804,3503,1858,696,1616,1799,1402,1371,934,758,588,494,407,606
Melekoza,ET071501,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,158224,78547,79677,24107,25722,23685,12560,4705,10928,12161,9482,9269,6314,5124,3974,3343,2755,4095,11967,12769,11758,6235,2335,5425,6037,4707,4602,3134,2544,1973,1659,1368,2033,12140,12953,11927,6325,2369,5503,6124,4775,4668,3180,2580,2001,1683,1387,2062
Denba Gofa,ET071502,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,103816,51604,52212,15817,16877,15541,8241,3087,7170,7979,6221,6082,4143,3362,2607,2193,1808,2687,7862,8389,7725,4096,1534,3564,3966,3092,3023,2059,1671,1296,1090,899,1336,7955,8488,7816,4145,1552,3606,4013,3129,3059,2084,1691,1311,1103,909,1351
Zala,ET071503,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,97863,49433,48430,14910,15909,14650,7768,2910,6759,7522,5865,5733,3905,3169,2458,2067,1704,2533,7532,8036,7400,3924,1470,3414,3799,2962,2896,1973,1601,1242,1044,861,1279,7379,7873,7250,3844,1440,3345,3722,2902,2837,1933,1568,1216,1023,843,1253
Uba Debre Tsehay,ET071504,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,94129,47401,46728,14342,15302,14091,7472,2799,6501,7235,5641,5514,3756,3048,2364,1989,1639,2436,7222,7706,7096,3763,1409,3274,3643,2841,2777,1892,1535,1190,1001,825,1227,7120,7596,6995,3709,1389,3227,3591,2800,2738,1865,1513,1174,987,814,1209
Gezei Gofa,ET071505,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,45543,22562,22981,6939,7404,6818,3615,1354,3146,3500,2729,2668,1817,1475,1144,962,793,1179,3438,3668,3377,1791,671,1558,1734,1352,1322,900,731,567,477,393,584,3501,3736,3440,1824,683,1587,1766,1377,1346,917,744,577,485,400,595
O'yida,ET071506,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,42606,21329,21277,6491,6926,6378,3382,1267,2943,3275,2553,2496,1700,1380,1070,900,742,1103,3250,3467,3193,1693,634,1473,1639,1278,1250,851,691,536,451,371,552,3242,3459,3185,1689,633,1470,1635,1275,1246,849,689,534,449,371,551
Sawla town,ET071507,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,58303,28421,29882,8883,9478,8728,4628,1734,4027,4481,3494,3416,2327,1888,1464,1232,1015,1509,4330,4620,4254,2256,845,1963,2184,1703,1665,1134,920,714,600,495,736,4553,4858,4473,2372,889,2064,2297,1791,1751,1192,968,750,631,520,773
Bulike town,ET071508,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,14758,7040,7718,2249,2399,2209,1172,439,1019,1134,884,865,589,478,371,312,257,382,1073,1144,1054,559,209,486,541,422,412,281,228,177,149,123,182,1176,1255,1155,613,229,533,593,463,452,308,250,194,163,134,200
Melo Gada,ET071509,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,20706,10325,10381,3155,3366,3100,1644,616,1430,1591,1241,1213,826,671,520,437,361,536,1573,1679,1546,820,307,713,794,619,605,412,334,259,218,180,267,1582,1688,1554,824,309,717,798,622,608,414,336,261,219,181,269
Basketo SP Woreda,ET071601,Basketo,ET0716,SNNP,ET07,Ethiopia,ET,79236,39609,39627,12072,12881,11861,6290,2356,5473,6090,4748,4642,3162,2566,1990,1674,1380,2051,6035,6439,5929,3144,1178,2736,3044,2374,2320,1581,1283,995,837,690,1025,6038,6442,5932,3146,1178,2737,3046,2375,2322,1581,1283,995,837,690,1026
Alicho Woriro,ET072001,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,119290,54297,64993,18175,19392,17857,9469,3547,8239,9169,7149,6989,4760,3863,2996,2520,2077,3087,8273,8827,8128,4310,1614,3750,4173,3254,3181,2167,1758,1364,1147,946,1405,9902,10566,9729,5159,1932,4489,4995,3895,3808,2594,2105,1632,1373,1132,1682
Siltie,ET072002,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,163234,80382,82851,24870,26536,24435,12958,4854,11274,12546,9782,9563,6514,5286,4100,3448,2842,4225,12247,13067,12033,6381,2390,5552,6178,4817,4709,3208,2603,2019,1698,1400,2080,12623,13469,12402,6577,2463,5722,6368,4965,4854,3306,2683,2081,1750,1443,2144
Lanfero,ET072003,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,164498,83099,81399,25063,26742,24625,13058,4891,11362,12643,9858,9637,6564,5327,4131,3475,2865,4257,12661,13509,12440,6596,2471,5739,6387,4980,4868,3316,2691,2087,1756,1447,2151,12402,13233,12185,6462,2420,5622,6256,4878,4769,3248,2636,2044,1720,1417,2107
Mierab Azenet Berbere,ET072004,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,82368,37331,45037,12550,13390,12330,6538,2449,5689,6331,4936,4825,3287,2668,2069,1740,1434,2132,5688,6069,5588,2963,1110,2578,2869,2237,2187,1490,1209,938,789,650,966,6862,7321,6742,3575,1339,3111,3461,2699,2638,1797,1459,1131,951,784,1166
Dalocha,ET072005,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,123611,61669,61942,18833,20095,18504,9812,3675,8538,9501,7408,7242,4933,4003,3104,2611,2153,3199,9396,10025,9232,4895,1834,4259,4740,3696,3613,2461,1997,1549,1303,1074,1596,9438,10070,9272,4917,1842,4278,4761,3712,3629,2472,2006,1556,1309,1079,1603
Sankura,ET072006,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,113061,56724,56337,17226,18380,16925,8975,3362,7809,8690,6775,6624,4512,3662,2840,2388,1969,2926,8643,9221,8491,4503,1687,3918,4360,3399,3323,2264,1837,1425,1198,988,1468,8584,9158,8433,4472,1675,3891,4330,3376,3300,2248,1825,1415,1190,981,1458
Misrak Azenet Berbere,ET072007,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,64899,29280,35619,9888,10550,9715,5152,1930,4482,4988,3889,3802,2590,2102,1630,1371,1130,1680,4461,4760,4383,2324,871,2022,2250,1755,1715,1168,948,735,619,510,758,5427,5790,5332,2827,1059,2460,2738,2135,2087,1421,1154,895,752,620,922
Wulbareg,ET072008,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,105128,50327,54801,16017,17090,15737,8345,3126,7261,8080,6300,6159,4195,3405,2640,2221,1831,2721,7668,8181,7534,3995,1496,3476,3868,3016,2948,2008,1630,1264,1063,876,1302,8350,8909,8203,4350,1629,3785,4212,3284,3210,2187,1775,1376,1158,954,1418
Tora town,ET072009,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,23488,12061,11427,3579,3818,3516,1864,698,1622,1805,1408,1376,937,761,590,496,409,608,1838,1961,1805,957,359,833,927,723,707,481,391,303,255,210,312,1741,1858,1711,907,340,789,878,685,669,456,370,287,241,199,296
Worabe town,ET072010,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,24255,12889,11366,3696,3943,3631,1925,721,1675,1864,1454,1421,968,786,609,512,422,628,1964,2095,1929,1023,383,890,991,772,755,514,417,324,272,224,334,1732,1848,1701,902,338,785,874,681,666,454,368,285,240,198,294
Kibet town,ET072011,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,14575,7183,7392,2221,2369,2182,1157,433,1007,1120,873,854,582,472,366,308,254,377,1094,1168,1075,570,214,496,552,430,421,287,233,180,152,125,186,1126,1202,1107,587,220,511,568,443,433,295,239,186,156,129,191
Mito,ET072012,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,71053,36053,35000,10826,11551,10636,5640,2113,4907,5461,4258,4163,2835,2301,1784,1501,1237,1839,5493,5861,5397,2862,1072,2490,2771,2161,2112,1439,1168,905,762,628,933,5333,5690,5239,2778,1041,2417,2690,2097,2050,1397,1134,879,739,609,906
Misrak Siltie,ET072013,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,6739,3318,3420,1027,1095,1009,535,200,465,518,404,395,269,218,169,142,117,174,506,539,497,263,99,229,255,199,194,132,107,83,70,58,86,521,556,512,272,102,236,263,205,200,136,111,86,72,60,89
Amaro,ET072102,Amaro,ET0721,SNNP,ET07,Ethiopia,ET,201929,101793,100136,30766,32826,30228,16029,6004,13947,15520,12101,11830,8058,6540,5071,4266,3516,5226,15509,16548,15238,8080,3027,7031,7824,6100,5963,4062,3297,2557,2150,1773,2634,15257,16279,14990,7949,2977,6916,7696,6001,5866,3996,3243,2515,2115,1744,2592
Burji Special,ET072203,Burji,ET0722,SNNP,ET07,Ethiopia,ET,79337,38413,40924,12088,12897,11876,6298,2359,5480,6098,4754,4648,3166,2569,1993,1676,1382,2053,5853,6245,5750,3049,1142,2653,2952,2302,2250,1533,1244,965,811,669,994,6235,6653,6126,3249,1217,2827,3145,2452,2398,1633,1325,1028,865,713,1059
Derashe Special,ET072304,Derashe,ET0723,SNNP,ET07,Ethiopia,ET,199634,97369,102265,30416,32453,29884,15847,5936,13788,15344,11964,11695,7967,6465,5014,4217,3476,5167,14835,15829,14576,7729,2895,6725,7484,5835,5704,3886,3153,2445,2057,1696,2520,15581,16625,15309,8118,3041,7063,7860,6128,5991,4081,3312,2568,2160,1781,2647
Yem SP Woreda,ET072401,Yem Special,ET0724,SNNP,ET07,Ethiopia,ET,67586,33711,33875,10297,10987,10117,5365,2010,4668,5195,4050,3959,2697,2189,1697,1428,1177,1749,5136,5480,5046,2676,1002,2328,2591,2020,1975,1345,1092,847,712,587,872,5161,5507,5071,2689,1007,2340,2604,2030,1985,1352,1097,851,716,590,877
Anderacha,ET110101,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,34054,16926,17128,5188,5536,5098,2703,1013,2352,2617,2041,1995,1359,1103,855,719,593,881,2579,2752,2534,1344,503,1169,1301,1014,992,675,548,425,358,295,438,2610,2784,2564,1360,509,1183,1316,1026,1003,684,555,430,362,298,443
Masha,ET110102,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,28832,14708,14124,4393,4687,4316,2289,857,1991,2216,1728,1689,1151,934,724,609,502,746,2241,2391,2202,1168,437,1016,1130,881,862,587,476,369,311,256,381,2152,2296,2114,1121,420,975,1086,846,827,564,457,355,298,246,366
Yeki,ET110103,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,203968,103569,100399,31077,33158,30533,16191,6065,14088,15677,12223,11949,8139,6606,5123,4309,3552,5279,15780,16837,15504,8221,3079,7153,7960,6207,6068,4133,3354,2601,2188,1804,2680,15297,16321,15029,7970,2985,6934,7717,6017,5882,4006,3252,2522,2121,1748,2598
Tepi,ET110104,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,49406,25038,24368,7527,8032,7396,3922,1469,3412,3797,2961,2894,1972,1600,1241,1044,860,1279,3815,4070,3748,1988,744,1729,1924,1500,1467,999,811,629,529,436,648,3713,3961,3648,1934,725,1683,1873,1460,1428,972,789,612,515,424,631
Masha town,ET110105,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,17439,8379,9060,2657,2835,2611,1384,519,1204,1340,1045,1022,696,565,438,368,304,451,1277,1362,1254,665,249,579,644,502,491,334,271,210,177,146,217,1380,1473,1356,719,269,626,696,543,531,362,293,228,191,158,234
Saylem,ET110201,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,54902,26605,28297,8365,8925,8219,4358,1632,3792,4220,3290,3216,2191,1778,1379,1160,956,1421,4054,4325,3983,2112,791,1838,2045,1594,1559,1062,862,668,562,463,689,4311,4600,4236,2246,841,1954,2175,1696,1658,1129,916,711,598,493,732
Gesha,ET110202,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,113262,55156,58106,17257,18412,16955,8991,3368,7823,8705,6787,6635,4520,3668,2845,2393,1972,2931,8404,8966,8257,4378,1640,3810,4239,3305,3231,2201,1786,1385,1165,960,1427,8853,9446,8698,4613,1728,4013,4466,3482,3404,2319,1882,1459,1228,1012,1504
Gewata,ET110203,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,94553,46619,47934,14406,15371,14154,7506,2811,6531,7267,5666,5539,3773,3062,2375,1997,1647,2447,7103,7579,6979,3701,1386,3220,3583,2794,2731,1860,1510,1171,985,812,1207,7303,7792,7176,3805,1425,3311,3684,2873,2808,1913,1552,1204,1013,835,1241
Gimbo,ET110204,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,127423,62737,64686,19414,20714,19075,10115,3789,8801,9794,7636,7465,5085,4127,3200,2692,2219,3298,9559,10199,9391,4980,1865,4333,4822,3760,3675,2504,2032,1576,1325,1092,1624,9856,10516,9683,5135,1923,4468,4972,3876,3790,2581,2095,1625,1367,1126,1674
Adiyio,ET110205,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,90180,43928,46252,13740,14660,13500,7159,2681,6229,6931,5404,5283,3599,2921,2265,1905,1570,2334,6693,7141,6576,3487,1306,3034,3376,2632,2573,1753,1423,1103,928,765,1137,7047,7519,6924,3672,1375,3195,3555,2772,2710,1846,1498,1162,977,805,1197
Tullo,ET110206,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,53828,26700,27128,8201,8751,8058,4273,1601,3718,4137,3226,3153,2148,1743,1352,1137,937,1393,4068,4340,3997,2119,794,1844,2052,1600,1564,1065,865,671,564,465,691,4133,4410,4061,2153,807,1874,2085,1626,1589,1083,879,681,573,472,702
Cheta,ET110207,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,43625,21120,22505,6647,7092,6530,3463,1297,3013,3353,2614,2556,1741,1413,1096,922,760,1129,3218,3433,3162,1677,628,1459,1623,1266,1237,843,684,530,446,368,547,3429,3659,3369,1786,669,1554,1730,1349,1318,898,729,565,475,392,582
Decha,ET110208,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,171918,85566,86352,26194,27948,25735,13647,5112,11874,13213,10303,10072,6861,5568,4318,3632,2994,4449,13037,13910,12809,6792,2544,5910,6577,5128,5013,3415,2771,2149,1808,1490,2215,13157,14038,12927,6855,2568,5964,6637,5175,5059,3446,2797,2169,1824,1504,2235
Chena,ET110209,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,217716,106631,111085,33171,35393,32591,17282,6474,15037,16733,13047,12755,8688,7051,5468,4599,3791,5635,16246,17334,15962,8464,3171,7365,8196,6390,6247,4255,3453,2678,2253,1857,2760,16925,18058,16629,8818,3303,7672,8538,6657,6508,4433,3598,2790,2347,1934,2875
Bita,ET110210,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,98939,48822,50117,15074,16084,14811,7854,2942,6833,7604,5929,5796,3948,3204,2485,2090,1723,2561,7439,7937,7308,3876,1452,3372,3752,2926,2860,1948,1581,1226,1031,850,1264,7636,8147,7502,3978,1490,3461,3852,3003,2936,2000,1623,1259,1059,873,1297
Bonga town,ET110211,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,53535,26427,27108,8157,8703,8014,4250,1592,3698,4115,3208,3136,2136,1734,1345,1131,932,1386,4026,4296,3956,2098,786,1825,2031,1584,1548,1055,856,664,558,460,684,4130,4407,4058,2152,806,1872,2083,1625,1588,1082,878,681,573,472,702
Goba (SP),ET110212,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,26894,13443,13451,4098,4372,4026,2135,800,1857,2067,1612,1576,1073,871,675,568,468,696,2048,2185,2012,1067,400,928,1033,806,788,536,435,338,284,234,348,2049,2187,2014,1068,400,929,1034,806,788,537,436,338,284,234,348
Shisho Ande,ET110213,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,53157,26144,27013,8099,8641,7957,4220,1581,3671,4086,3186,3114,2121,1722,1335,1123,926,1376,3983,4250,3914,2075,777,1806,2009,1567,1532,1043,847,657,552,455,677,4116,4391,4044,2144,803,1866,2076,1619,1583,1078,875,678,571,470,699
Wacha,ET110214,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,32518,15993,16525,4954,5286,4868,2581,967,2246,2499,1949,1905,1298,1053,817,687,566,842,2437,2600,2394,1270,476,1105,1229,958,937,638,518,402,338,279,414,2518,2686,2474,1312,491,1141,1270,990,968,659,535,415,349,288,428
Sheko,ET110301,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,70179,35158,35021,10693,11409,10505,5571,2087,4847,5394,4206,4111,2801,2273,1763,1483,1222,1816,5357,5715,5263,2791,1045,2428,2702,2107,2060,1403,1139,883,743,612,910,5336,5693,5242,2780,1041,2419,2692,2099,2052,1398,1134,880,740,610,906
Gurafereda,ET110302,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,51533,27906,23627,7852,8377,7714,4091,1532,3559,3961,3088,3019,2056,1669,1294,1089,897,1334,4252,4537,4177,2215,830,1927,2145,1672,1635,1114,904,701,590,486,722,3600,3841,3537,1876,703,1632,1816,1416,1384,943,765,593,499,411,611
Debub Bench,ET110303,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,149734,72936,76798,22814,24341,22415,11886,4452,10342,11508,8973,8772,5975,4849,3761,3163,2607,3875,11113,11857,10918,5790,2169,5038,5606,4371,4273,2911,2362,1832,1541,1270,1888,11701,12485,11496,6096,2283,5304,5903,4602,4499,3065,2487,1929,1622,1337,1988
Shay Bench,ET110304,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,157023,74756,82267,23924,25526,23506,12465,4669,10845,12069,9410,9199,6266,5085,3944,3317,2734,4064,11390,12153,11191,5934,2223,5163,5746,4480,4380,2983,2421,1877,1579,1302,1935,12534,13374,12315,6530,2446,5682,6323,4930,4820,3283,2664,2066,1738,1433,2129
Semen Bench,ET110305,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,143090,69648,73442,21801,23261,21420,11359,4255,9883,10998,8575,8383,5710,4634,3594,3023,2492,3703,10612,11322,10426,5529,2071,4810,5353,4174,4080,2779,2256,1749,1471,1213,1803,11190,11939,10994,5830,2184,5072,5645,4401,4303,2931,2378,1844,1552,1279,1901
Gidi Bench,ET110306,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,24754,12103,12651,3772,4024,3706,1965,736,1710,1903,1483,1450,988,802,622,523,431,641,1844,1968,1812,961,360,836,930,725,709,483,392,304,256,211,313,1927,2057,1894,1004,376,874,972,758,741,505,410,318,267,220,327
Mizan Aman town,ET110307,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,59229,31288,27941,9024,9629,8866,4702,1761,4091,4552,3549,3470,2364,1918,1488,1251,1031,1533,4767,5086,4684,2484,930,2161,2405,1875,1833,1249,1013,786,661,545,810,4257,4542,4183,2218,831,1930,2148,1674,1637,1115,905,702,590,487,723
Size town,ET110308,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,21386,10228,11159,3258,3477,3201,1698,636,1477,1644,1282,1253,853,693,537,452,372,553,1558,1663,1531,812,304,706,786,613,599,408,331,257,216,178,265,1700,1814,1670,886,332,771,858,669,654,445,361,280,236,194,289
Tocha,ET110401,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,140071,71130,68941,21341,22771,20968,11119,4165,9674,10766,8394,8206,5590,4536,3518,2959,2439,3625,10837,11563,10648,5646,2115,4913,5467,4263,4167,2838,2304,1786,1503,1239,1841,10504,11207,10320,5473,2050,4762,5299,4131,4039,2751,2233,1731,1456,1201,1784
Mareka,ET110402,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,185409,96370,89039,28249,30141,27755,14718,5513,12806,14250,11111,10862,7399,6005,4657,3917,3229,4799,14683,15666,14426,7650,2865,6656,7407,5775,5646,3846,3121,2420,2036,1678,2494,13566,14475,13329,7068,2647,6150,6843,5336,5216,3553,2884,2236,1881,1550,2304
Loma,ET110403,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,144790,73188,71602,22060,23538,21674,11494,4305,10000,11128,8677,8482,5778,4689,3636,3059,2521,3747,11151,11898,10956,5810,2176,5055,5625,4386,4288,2921,2370,1838,1546,1274,1894,10909,11640,10719,5684,2129,4945,5503,4291,4195,2857,2319,1798,1513,1247,1853
Gena,ET110404,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,30136,15177,14960,4592,4899,4511,2392,896,2081,2316,1806,1766,1203,976,757,637,525,780,2312,2467,2272,1205,451,1048,1166,910,889,606,492,381,321,264,393,2279,2432,2239,1188,445,1033,1150,896,876,597,484,376,316,261,387
Isara,ET110405,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,88283,44348,43935,13451,14352,13216,7008,2625,6098,6785,5291,5172,3523,2859,2217,1865,1537,2285,6757,7209,6639,3520,1319,3063,3409,2658,2598,1770,1436,1114,937,772,1148,6694,7142,6577,3488,1306,3034,3377,2633,2574,1753,1423,1103,928,765,1137
Kachi,ET110406,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,20062,10230,9831,3057,3261,3003,1593,597,1386,1542,1202,1175,801,650,504,424,349,519,1559,1663,1531,812,304,707,786,613,599,408,331,257,216,178,265,1498,1598,1472,780,292,679,756,589,576,392,318,247,208,171,254
Tercha Zuriya,ET110407,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,75987,38856,37132,11578,12353,11375,6032,2259,5248,5840,4554,4452,3032,2461,1908,1605,1323,1967,5920,6317,5817,3084,1155,2684,2986,2329,2276,1551,1258,976,821,677,1006,5657,6036,5558,2948,1104,2565,2854,2225,2175,1482,1203,933,784,647,961
Mari Mansa,ET110408,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,45724,23381,22343,6967,7433,6845,3630,1360,3158,3514,2740,2679,1825,1481,1148,966,796,1183,3562,3801,3500,1856,695,1615,1797,1401,1370,933,757,587,494,407,605,3404,3632,3345,1774,664,1543,1717,1339,1309,892,724,561,472,389,578
Disa,ET110409,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,38167,19380,18787,5815,6205,5713,3030,1135,2636,2934,2287,2236,1523,1236,959,806,665,988,2953,3151,2901,1538,576,1339,1490,1161,1135,773,628,487,409,337,502,2862,3054,2812,1491,559,1298,1444,1126,1101,750,608,472,397,327,486
Zabagazo,ET110410,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,28759,14483,14276,4382,4675,4305,2283,855,1986,2210,1723,1685,1148,931,722,608,501,744,2207,2354,2168,1150,431,1000,1113,868,848,578,469,364,306,252,375,2175,2321,2137,1133,424,986,1097,856,836,570,462,359,302,249,369
Tercha town,ET110411,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,23208,12603,10605,3536,3773,3474,1842,690,1603,1784,1391,1360,926,752,583,490,404,601,1920,2049,1887,1000,375,870,969,755,738,503,408,317,266,219,326,1616,1724,1588,842,315,732,815,636,621,423,343,266,224,185,274
Gesa town,ET110412,Dawuro,ET1104,South West Ethiopia,ET11,Ethiopia,ET,10241,5332,4909,1560,1665,1533,813,305,707,787,614,600,409,332,257,216,178,265,812,867,798,423,159,368,410,320,312,213,173,134,113,93,138,748,798,735,390,146,339,377,294,288,196,159,123,104,85,127
Gachit,ET110501,Mirab Omo,ET1105,South West Ethiopia,ET11,Ethiopia,ET,32864,16146,16718,5007,5343,4920,2609,977,2270,2526,1969,1925,1311,1064,825,694,572,851,2460,2625,2417,1282,480,1115,1241,968,946,644,523,406,341,281,418,2547,2718,2503,1327,497,1155,1285,1002,979,667,541,420,353,291,433
Menit Goldiye,ET110502,Mirab Omo,ET1105,South West Ethiopia,ET11,Ethiopia,ET,116960,57208,59752,17820,19014,17508,9284,3478,8078,8989,7009,6852,4667,3788,2937,2471,2037,3027,8716,9300,8564,4541,1701,3951,4397,3428,3351,2283,1853,1437,1209,996,1481,9104,9714,8945,4743,1777,4127,4592,3581,3501,2384,1935,1501,1262,1040,1546
